2025-06-04T22:10:24Z,1000,5,light,1000,0,3186.12,1.557788ms,751.44µs,7.871509ms
2025-06-04T22:10:29Z,1000,5,light,1000,0,3219.51,1.545084ms,728.294µs,10.092003ms
2025-06-04T22:10:32Z,1000,5,light,1000,0,3128.58,1.591775ms,750.623µs,9.105607ms
2025-06-04T22:10:37Z,2500,5,light,2500,0,3254.87,1.531135ms,731.588µs,9.066132ms
2025-06-04T22:10:44Z,2500,5,light,2500,0,2774.14,1.797764ms,737.318µs,20.007371ms
2025-06-04T22:10:49Z,2500,5,light,2500,0,3278.85,1.516998ms,690.088µs,16.734169ms
2025-06-04T22:11:01Z,5000,5,light,5000,0,3182.35,1.566817ms,725.488µs,16.447011ms
2025-06-04T22:11:05Z,5000,5,light,5000,0,2997.41,1.664285ms,666.481µs,31.321963ms
2025-06-04T22:11:09Z,5000,5,light,5000,0,2867.68,1.739471ms,682.394µs,36.516767ms
2025-06-04T22:11:18Z,10000,5,light,10000,0,3143.75,1.586195ms,670.408µs,61.167113ms
2025-06-04T22:11:26Z,10000,5,light,10000,0,2511.43,1.986782ms,714.917µs,37.933056ms
2025-06-04T22:11:35Z,10000,5,light,10000,0,3229.35,1.544865ms,714.38µs,19.675138ms
2025-06-04T22:12:00Z,250,5,heavy,250,0,61.56,80.776191ms,51.360239ms,131.371253ms
2025-06-04T22:12:13Z,250,5,heavy,250,0,64.80,76.347445ms,50.757927ms,132.682557ms
2025-06-04T22:12:25Z,250,5,heavy,250,0,62.15,80.041745ms,51.766451ms,128.14727ms
2025-06-04T22:12:35Z,500,5,heavy,500,0,63.16,78.855477ms,50.669942ms,120.29472ms
2025-06-04T22:12:48Z,500,5,heavy,500,0,56.61,88.010517ms,52.13888ms,168.870245ms
2025-06-04T22:13:01Z,500,5,heavy,500,0,49.34,100.919188ms,52.391593ms,172.455743ms
2025-06-04T22:14:48Z,1000,5,heavy,1000,0,50.80,98.257342ms,50.390031ms,189.105283ms
2025-06-04T22:15:19Z,1000,5,heavy,1000,0,51.44,97.018083ms,51.708664ms,179.407636ms
